"Timestamp","Operation [1:Off, 2:On]","Dry concrete [1:Off, 2:On]","Mode [1:Tank only, 2:Heat, 3:Cool, 8:Auto, 9:Auto(Heat), 10:Auto(Cool)]","Tank [1:Off, 2:On]","Zone1-Zone2 On-Off [1:On-Off, 2:Off-On, 3:On-On]","SHP control [1:Disable, 2:Enable]","SHP flow control (forbid ΔT) [1:Disable, 2:Enable]","Zone1: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone1: (water shift/water/room) set temperature for cool mode [°C]","Zone2: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone2: (water shift/water/room) set temperature for cool  mode [°C]","Tank water set temperature [°C]","Co-efficient frequency control [%]","Current Lv [Lv]","External SW [1:Close, 2:Open]","Heat-Cool SW [1:Heat, 2:Cool]","Powerful (Actual) [1:Off, 2:On]","Quiet (Actual) [1:Off, 2:On]","3-way valve [1:Room, 2:Tank]","Defrost (Actual) [1:Off, 2:On]","Room heater (Actual) [1:Off, 2:On]","Tank heater (Actual) [1:Off, 2:On]","Solar (Actual) [1:Off, 2:On]","Bivalent (Actual) [1:Off, 2:On]","Current error status [0:No error pop up screen in RC LCD, 1:Error pop up screen in RC LCD]","Backup heater 1 status (Actual) [1:Off, 2:On]","Backup heater 2 status (Actual) [1:Off, 2:On]","Backup heater 3 status (Actual) [1:Off, 2:On]","2 Zone pump 1 status (Actual) [1:Off, 2:On]","2 Zone pump 2 status (Actual) [1:Off, 2:On]","Sterilization status (Actual) [1:Off, 2:On]","Zone1: Actual (water outlet/room/pool) temperature [°C]","Zone2: Actual (water outlet/room/pool) temperature [°C]","Actual tank temperature [°C]","Actual outdoor temperature [°C]","Inlet water temperature [°C]","Outlet water temperature [°C]","Zone1: Water temperature [°C]","Zone2: Water temperature [°C]","Zone1: Water temperature (Target) [°C]","Zone2: Water temperature (Target) [°C]","Buffer tank: Water temperature [°C]","Solar: Water temperature [°C]","Pool: Water temperature [°C]","Outlet water temperature (Target) [°C]","Outlet 2 temperature [°C]","Discharge temperature [°C]","Room thermostat internal sensor temperature [°C]","Indoor piping temperature [°C]","Outdoor piping temperature [°C]","Defrost temperature [°C]","EVA outlet temperature [°C]","Bypass outlet temperature [°C]","IPM temperature [°C]","High pressure [kgf/cm2]","Low pressure [kgf/cm2]","Outdoor current [A]","Compressor frequency [Hz]","Pump flow rate [L/min]","Pump speed [r/min]","Pump duty [duty]","Fan motor speed 1 [r/min]","Fan motor speed 2 [r/min]","2 Zone mixing valve 1 opening [sec]","2 Zone mixing valve 2 opening [sec]","Heat mode energy consumption [kW]","Heat mode energy generation [kW]","Cool mode energy consumption [kW]","Cool mode energy generation [kW]","Tank mode energy consumption [kW]","Tank mode energy generation [kW]"
"25.Nov.2018 22:05:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","42.0","0","47","-3","38.25","42.25","-78","-78","41","53","-78","-78","-78","41","42","53","28","42","-6","-2","-5","12","12","25.400000000000002","0.0","2.6","29","14.45","1550","80","500","530","0","0","1.8","4.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:10:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","42.0","0","47","-3","38.25","42.25","-78","-78","41","53","-78","-78","-78","41","42","53","28","42","-6","-2","-5","12","12","25.400000000000002","0.0","2.6","30","14.45","1550","80","510","540","0","0","1.8","4.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:15:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","42.0","0","47","-3","38.25","42.25","-78","-78","41","53","-78","-78","-78","41","42","53","28","42","-6","-2","-5","12","12","25.400000000000002","0.0","2.6","29","14.45","1550","80","500","540","0","0","1.8","4.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:20:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","42.0","0","47","-3","38.25","42.25","-78","-78","41","53","-78","-78","-78","41","42","53","28","42","-6","-2","-5","12","12","25.400000000000002","0.0","2.6","30","14.81","1550","80","500","540","0","0","1.8","4.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:25:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.75","-78","-78","41","53","-78","-78","-78","41","42","53","28","42","-7","-2","-5","12","11","25.0","0.0","2.6","29","14.81","1550","80","500","540","0","0","1.8","3.6","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:30:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.75","-78","-78","41","53","-78","-78","-78","41","41","53","27","42","-7","-2","-6","12","11","25.0","0.0","2.6","29","14.81","1550","80","500","540","0","0","1.8","3.6","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:35:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.75","-78","-78","41","53","-78","-78","-78","41","41","53","27","42","-7","-3","-6","12","11","25.0","0.0","2.6","29","14.81","1550","80","500","540","0","0","1.8","3.6","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:40:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.75","-78","-78","41","53","-78","-78","-78","41","41","53","27","42","-8","-3","-7","11","11","25.0","0.0","2.6","30","14.81","1550","80","500","540","0","0","1.8","3.6","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:45:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-9","-4","-7","11","11","24.8","0.0","2.6","29","14.81","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:50:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-10","-5","-8","11","10","24.8","0.0","2.6","30","14.45","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 22:55:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-10","-6","-9","10","10","24.8","0.0","2.6","30","14.45","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:00:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-11","-6","-9","10","10","24.8","0.0","2.6","30","14.45","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:05:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","38.25","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-11","-6","-9","10","10","24.6","0.0","2.6","30","14.81","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:10:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","37.75","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-12","-7","-10","10","10","24.6","0.0","2.6","29","14.45","1550","80","500","550","0","0","1.6","3.4000000000000004","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:15:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","37.75","41.5","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-12","-7","-10","10","10","24.6","0.0","2.6","29","14.45","1550","80","500","540","0","0","1.6","3.4000000000000004","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:20:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","37.75","41.0","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-12","-7","-10","10","10","24.6","0.0","2.6","29","14.81","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:25:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","37.75","41.0","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-12","-8","-11","9","10","24.400000000000002","0.0","2.6","30","14.45","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:30:30","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","37.75","41.0","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-13","-8","-11","9","10","24.6","0.0","2.6","30","14.45","1550","80","500","540","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
"25.Nov.2018 23:35:31","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","47","-3","37.75","41.0","-78","-78","41","53","-78","-78","-78","41","41","53","27","41","-13","-9","-11","9","10","24.400000000000002","0.0","2.6","29","14.45","1550","80","500","530","0","0","1.6","3.0","0.0","0.0","0.0","0.0"
