
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.01.2019 00:00;01.01.2019 01:00;3,26;Tegelik;
01.01.2019 01:00;01.01.2019 02:00;2,719;Tegelik;
01.01.2019 02:00;01.01.2019 03:00;2,148;Tegelik;
01.01.2019 03:00;01.01.2019 04:00;1,591;Tegelik;
01.01.2019 04:00;01.01.2019 05:00;1,597;Tegelik;
01.01.2019 05:00;01.01.2019 06:00;1,729;Tegelik;
01.01.2019 06:00;01.01.2019 07:00;1,844;Tegelik;
01.01.2019 07:00;01.01.2019 08:00;0,203;Tegelik;
01.01.2019 08:00;01.01.2019 09:00;0,196;Tegelik;
01.01.2019 09:00;01.01.2019 10:00;1,482;Tegelik;
01.01.2019 10:00;01.01.2019 11:00;0,706;Tegelik;
01.01.2019 11:00;01.01.2019 12:00;0,895;Tegelik;
01.01.2019 12:00;01.01.2019 13:00;2,217;Tegelik;
01.01.2019 13:00;01.01.2019 14:00;1,35;Tegelik;
01.01.2019 14:00;01.01.2019 15:00;3,055;Tegelik;
01.01.2019 15:00;01.01.2019 16:00;4,161;Tegelik;
01.01.2019 16:00;01.01.2019 17:00;4,317;Tegelik;
01.01.2019 17:00;01.01.2019 18:00;1,823;Tegelik;
01.01.2019 18:00;01.01.2019 19:00;1,417;Tegelik;
01.01.2019 19:00;01.01.2019 20:00;2,684;Tegelik;
01.01.2019 20:00;01.01.2019 21:00;1,335;Tegelik;
01.01.2019 21:00;01.01.2019 22:00;1,346;Tegelik;
01.01.2019 22:00;01.01.2019 23:00;1,389;Tegelik;
01.01.2019 23:00;02.01.2019 00:00;1,499;Tegelik;
02.01.2019 00:00;02.01.2019 01:00;3,179;Tegelik;
02.01.2019 01:00;02.01.2019 02:00;3,141;Tegelik;
02.01.2019 02:00;02.01.2019 03:00;1,802;Tegelik;
02.01.2019 03:00;02.01.2019 04:00;1,521;Tegelik;
02.01.2019 04:00;02.01.2019 05:00;1,523;Tegelik;
02.01.2019 05:00;02.01.2019 06:00;1,577;Tegelik;
02.01.2019 06:00;02.01.2019 07:00;1,674;Tegelik;
02.01.2019 07:00;02.01.2019 08:00;0,198;Tegelik;
02.01.2019 08:00;02.01.2019 09:00;0,187;Tegelik;
02.01.2019 09:00;02.01.2019 10:00;2,034;Tegelik;
02.01.2019 10:00;02.01.2019 11:00;1,45;Tegelik;
02.01.2019 11:00;02.01.2019 12:00;1,326;Tegelik;
02.01.2019 12:00;02.01.2019 13:00;1,555;Tegelik;
02.01.2019 13:00;02.01.2019 14:00;1,316;Tegelik;
02.01.2019 14:00;02.01.2019 15:00;2,811;Tegelik;
02.01.2019 15:00;02.01.2019 16:00;4,165;Tegelik;
02.01.2019 16:00;02.01.2019 17:00;3,79;Tegelik;
02.01.2019 17:00;02.01.2019 18:00;2,943;Tegelik;
02.01.2019 18:00;02.01.2019 19:00;2,295;Tegelik;
02.01.2019 19:00;02.01.2019 20:00;2,215;Tegelik;
02.01.2019 20:00;02.01.2019 21:00;2,229;Tegelik;
02.01.2019 21:00;02.01.2019 22:00;2,022;Tegelik;
02.01.2019 22:00;02.01.2019 23:00;2,374;Tegelik;
