Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,-7.5,52,1030.0,-0.1,169,2.4,4.9,,nähtusteta,,0.0,35.0,2018-12-01 0:00:00
Valga,-7.9,54,1029.8,-0.4,163,3.0,6.0,,nähtusteta,,0.0,35.0,2018-12-01 1:00:00
Valga,-8.2,58,1029.7,-0.5,166,3.3,6.3,,nähtusteta,,0.0,35.0,2018-12-01 2:00:00
Valga,-9.0,62,1029.8,-0.2,167,2.9,6.5,,nähtusteta,,0.0,35.0,2018-12-01 3:00:00
Valga,-9.6,68,1029.4,-0.4,160,2.7,5.5,,nähtusteta,,0.0,35.0,2018-12-01 4:00:00
Valga,-10.4,71,1029.0,-0.7,157,2.0,4.4,,nähtusteta,,0.0,35.0,2018-12-01 5:00:00
Valga,-10.9,73,1028.7,-1.1,159,2.6,5.2,,nähtusteta,,0.0,35.0,2018-12-01 6:00:00
Valga,-11.4,76,1028.2,-1.2,163,1.7,5.4,,nähtusteta,,0.0,30.5,2018-12-01 7:00:00
Valga,-11.5,76,1028.0,-1.0,143,2.2,5.1,,nähtusteta,,0.0,24.0,2018-12-01 8:00:00
Valga,-10.0,71,1027.4,-1.3,154,2.8,5.6,,nähtusteta,,0.0,30.8,2018-12-01 9:00:00
Valga,-9.1,66,1026.8,-1.4,150,3.1,6.3,,nähtusteta,,0.0,35.0,2018-12-01 10:00:00
Valga,-8.4,63,1026.3,-1.7,144,3.1,5.9,,nähtusteta,,0.0,35.0,2018-12-01 11:00:00
Valga,-7.5,59,1025.3,-2.1,124,2.2,5.2,,nähtusteta,,0.0,24.4,2018-12-01 12:00:00
Valga,-6.9,54,1024.3,-2.5,140,2.9,5.2,,nähtusteta,,0.0,35.0,2018-12-01 13:00:00
Valga,-6.8,76,1023.1,-3.2,126,2.6,5.8,,nõrk lumi,,0.0,3.0,2018-12-01 14:00:00
Valga,-6.6,87,1022.5,-2.8,116,1.7,5.7,,nõrk lumi,,0.2,6.7,2018-12-01 15:00:00
Valga,-6.5,79,1021.7,-2.6,86,1.8,4.9,,nõrk lumi,,0.1,4.6,2018-12-01 16:00:00
Valga,-6.3,83,1020.8,-2.3,64,1.6,2.7,,nõrk lumi,,0.1,24.6,2018-12-01 17:00:00
Valga,-6.4,93,1020.3,-2.2,60,1.2,3.7,,mõõdukas lumi,,0.7,1.5,2018-12-01 18:00:00
Valga,-6.0,82,1019.6,-2.1,125,1.5,3.4,,nõrk hooglumi,,0.1,3.5,2018-12-01 19:00:00
