Grupp;"Ajatempel (UTC)";Hind
fi;1527800400;41,28
fi;1527804000;41,33
fi;1527807600;38,89
fi;1527811200;38,82
fi;1527814800;38,45
fi;1527818400;38,01
fi;1527822000;41,18
fi;1527825600;47,08
fi;1527829200;56,03
fi;1527832800;62,71
fi;1527836400;64,32
fi;1527840000;65,5
fi;1527843600;67,88
fi;1527847200;72,66
fi;1527850800;70,05
fi;1527854400;58,56
fi;1527858000;46,48
fi;1527861600;45,53
fi;1527865200;45,82
fi;1527868800;52,99
fi;1527872400;52,32
fi;1527876000;46,04
fi;1527879600;45,68
fi;1527883200;45,39
fi;1527886800;43,95
fi;1527890400;42,16
fi;1527894000;40,42
fi;1527897600;39,14
fi;1527901200;38,5
fi;1527904800;38,5
fi;1527908400;38,78
fi;1527912000;40,45
fi;1527915600;42,17
fi;1527919200;43,99
fi;1527922800;45,71
fi;1527926400;45,22
fi;1527930000;45,06
fi;1527933600;44
fi;1527937200;43,9
fi;1527940800;43,83
fi;1527944400;43,15
fi;1527948000;42,67
fi;1527951600;43,43
fi;1527955200;45,63
fi;1527958800;46,29
fi;1527962400;46,02
fi;1527966000;45,97
fi;1527969600;45,87
fi;1527973200;42,27
fi;1527976800;43,39
fi;1527980400;41,59
fi;1527984000;40,04
fi;1527987600;39,33
fi;1527991200;38,43
fi;1527994800;39,25
fi;1527998400;40,18
fi;1528002000;41,39
fi;1528005600;43,08
fi;1528009200;43,57
fi;1528012800;44,03
fi;1528016400;43,89
fi;1528020000;43,89
fi;1528023600;43,46
fi;1528027200;41,62
fi;1528030800;40,97
fi;1528034400;41,32
fi;1528038000;42,58
fi;1528041600;43,57
fi;1528045200;44,5
fi;1528048800;45,09
fi;1528052400;45,27
fi;1528056000;44,94
fi;1528059600;40,66
fi;1528063200;38,62
fi;1528066800;36,13
fi;1528070400;32,4
fi;1528074000;31,44
fi;1528077600;30,85
fi;1528081200;37,41
fi;1528084800;46,49
fi;1528088400;52,42
fi;1528092000;51,95
fi;1528095600;51,76
fi;1528099200;50,57
fi;1528102800;52,17
fi;1528106400;52,94
fi;1528110000;55,74
fi;1528113600;55,35
fi;1528117200;45,06
fi;1528120800;44,77
fi;1528124400;45,52
fi;1528128000;46,07
fi;1528131600;45,99
fi;1528135200;45,63
fi;1528138800;45,39
fi;1528142400;45,27
fi;1528146000;43,07
fi;1528149600;42,66
fi;1528153200;41,01
fi;1528156800;39,44
fi;1528160400;39,35
fi;1528164000;39,05
fi;1528167600;41,63
fi;1528171200;47,13
fi;1528174800;51,06
fi;1528178400;56,65
fi;1528182000;60,08
fi;1528185600;60,43
fi;1528189200;62,65
fi;1528192800;60,5
fi;1528196400;59,01
fi;1528200000;59,06
fi;1528203600;46,68
fi;1528207200;46,51
fi;1528210800;46,94
fi;1528214400;58,04
fi;1528218000;61,8
fi;1528221600;47,29
fi;1528225200;47,13
fi;1528228800;47,34
fi;1528232400;44,93
fi;1528236000;44,99
fi;1528239600;42,09
fi;1528243200;41,12
fi;1528246800;41,62
fi;1528250400;41,64
