"Timestamp","Operation [1:Off, 2:On]","Dry concrete [1:Off, 2:On]","Mode [1:Tank only, 2:Heat, 3:Cool, 8:Auto, 9:Auto(Heat), 10:Auto(Cool)]","Tank [1:Off, 2:On]","Zone1-Zone2 On-Off [1:On-Off, 2:Off-On, 3:On-On]","SHP control [1:Disable, 2:Enable]","SHP flow control (forbid ΔT) [1:Disable, 2:Enable]","Zone1: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone1: (water shift/water/room) set temperature for cool mode [°C]","Zone2: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone2: (water shift/water/room) set temperature for cool  mode [°C]","Tank water set temperature [°C]","Co-efficient frequency control [%]","Current Lv [Lv]","External SW [1:Close, 2:Open]","Heat-Cool SW [1:Heat, 2:Cool]","Powerful (Actual) [1:Off, 2:On]","Quiet (Actual) [1:Off, 2:On]","3-way valve [1:Room, 2:Tank]","Defrost (Actual) [1:Off, 2:On]","Room heater (Actual) [1:Off, 2:On]","Tank heater (Actual) [1:Off, 2:On]","Solar (Actual) [1:Off, 2:On]","Bivalent (Actual) [1:Off, 2:On]","Current error status [0:No error pop up screen in RC LCD, 1:Error pop up screen in RC LCD]","Backup heater 1 status (Actual) [1:Off, 2:On]","Backup heater 2 status (Actual) [1:Off, 2:On]","Backup heater 3 status (Actual) [1:Off, 2:On]","2 Zone pump 1 status (Actual) [1:Off, 2:On]","2 Zone pump 2 status (Actual) [1:Off, 2:On]","Sterilization status (Actual) [1:Off, 2:On]","Zone1: Actual (water outlet/room/pool) temperature [°C]","Zone2: Actual (water outlet/room/pool) temperature [°C]","Actual tank temperature [°C]","Actual outdoor temperature [°C]","Inlet water temperature [°C]","Outlet water temperature [°C]","Zone1: Water temperature [°C]","Zone2: Water temperature [°C]","Zone1: Water temperature (Target) [°C]","Zone2: Water temperature (Target) [°C]","Buffer tank: Water temperature [°C]","Solar: Water temperature [°C]","Pool: Water temperature [°C]","Outlet water temperature (Target) [°C]","Outlet 2 temperature [°C]","Discharge temperature [°C]","Room thermostat internal sensor temperature [°C]","Indoor piping temperature [°C]","Outdoor piping temperature [°C]","Defrost temperature [°C]","EVA outlet temperature [°C]","Bypass outlet temperature [°C]","IPM temperature [°C]","High pressure [kgf/cm2]","Low pressure [kgf/cm2]","Outdoor current [A]","Compressor frequency [Hz]","Pump flow rate [L/min]","Pump speed [r/min]","Pump duty [duty]","Fan motor speed 1 [r/min]","Fan motor speed 2 [r/min]","2 Zone mixing valve 1 opening [sec]","2 Zone mixing valve 2 opening [sec]","Heat mode energy consumption [kW]","Heat mode energy generation [kW]","Cool mode energy consumption [kW]","Cool mode energy generation [kW]","Tank mode energy consumption [kW]","Tank mode energy generation [kW]"
"11.Nov.2018 22:24:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","37.0","0","38","4","35.0","37.75","-78","-78","37","46","-78","-78","-78","37","38","52","26","38","-1","0","1","1","19","23.200000000000003","0.0","2.6","31","23.76","2450","102","490","530","0","0","1.6","4.800000000000001","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:29:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","38","4","35.0","38.25","-78","-78","37","46","-78","-78","-78","37","38","50","26","38","-1","0","0","1","19","23.200000000000003","0.0","2.6","31","22.69","2350","100","490","530","0","0","1.6","5.2","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:34:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","38","4","35.0","38.75","-78","-78","37","46","-78","-78","-78","37","38","50","26","39","-1","0","1","1","19","23.400000000000002","0.0","2.6","31","21.98","2250","99","490","530","0","0","1.8","5.6000000000000005","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:39:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","38","4","35.0","38.25","-78","-78","37","46","-78","-78","-78","37","38","48","26","39","0","3","1","15","19","23.200000000000003","0.0","2.2","27","20.90","2150","95","480","530","0","0","1.4000000000000001","4.800000000000001","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:44:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","38","4","35.0","38.25","-78","-78","37","46","-78","-78","-78","37","38","47","26","39","0","3","1","15","19","23.400000000000002","0.0","2.2","26","19.47","2050","93","480","520","0","0","1.4000000000000001","4.4","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:49:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","37.0","0","38","4","35.25","37.75","-78","-78","37","46","-78","-78","-78","37","37","45","26","38","0","3","1","14","19","22.8","0.0","2.0","23","18.39","1950","90","470","500","0","0","1.2000000000000002","3.2","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:54:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","38","4","35.25","38.25","-78","-78","37","46","-78","-78","-78","37","38","45","26","38","0","3","1","14","19","22.8","0.0","2.0","22","17.32","1850","87","470","510","0","0","1.2000000000000002","3.4000000000000004","0.0","0.0","0.0","0.0"
"11.Nov.2018 22:59:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","49.0","0","38","4","43.25","49.25","-78","-78","37","46","-78","-78","-78","57","50","58","26","50","-1","9","-1","14","21","31.8","0.0","5.2","50","12.66","2000","90","530","570","0","0","0.0","0.0","0.0","0.0","3.6","5.2"
"11.Nov.2018 23:04:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","59.0","0","38","4","57.5","59.5","-78","-78","37","46","-78","-78","-78","57","59","78","26","59","2","11","2","24","26","37.0","0.0","4.2","34","25.19","3600","131","500","540","0","0","0.0","0.0","0.0","0.0","2.8000000000000003","3.4000000000000004"
"11.Nov.2018 23:09:56","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","52.0","0","38","4","48.75","52.0","-78","-78","37","46","-78","-78","-78","57","52","70","27","51","2","1","3","20","20","31.6","0.0","3.6","36","14.09","2150","91","500","540","0","0","0.0","0.0","0.0","0.0","2.4000000000000004","3.2"
