
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.07.2018 00:00;01.07.2018 01:00;0,525;Tegelik;
01.07.2018 01:00;01.07.2018 02:00;0,293;Tegelik;
01.07.2018 02:00;01.07.2018 03:00;0,163;Tegelik;
01.07.2018 03:00;01.07.2018 04:00;0,159;Tegelik;
01.07.2018 04:00;01.07.2018 05:00;0,156;Tegelik;
01.07.2018 05:00;01.07.2018 06:00;0,149;Tegelik;
01.07.2018 06:00;01.07.2018 07:00;0,242;Tegelik;
01.07.2018 07:00;01.07.2018 08:00;0,951;Tegelik;
01.07.2018 08:00;01.07.2018 09:00;0,563;Tegelik;
01.07.2018 09:00;01.07.2018 10:00;0,503;Tegelik;
01.07.2018 10:00;01.07.2018 11:00;0,454;Tegelik;
01.07.2018 11:00;01.07.2018 12:00;0,541;Tegelik;
01.07.2018 12:00;01.07.2018 13:00;0,666;Tegelik;
01.07.2018 13:00;01.07.2018 14:00;0,525;Tegelik;
01.07.2018 14:00;01.07.2018 15:00;1,106;Tegelik;
01.07.2018 15:00;01.07.2018 16:00;3,135;Tegelik;
01.07.2018 16:00;01.07.2018 17:00;2,531;Tegelik;
01.07.2018 17:00;01.07.2018 18:00;1,65;Tegelik;
01.07.2018 18:00;01.07.2018 19:00;0,9;Tegelik;
01.07.2018 19:00;01.07.2018 20:00;2,755;Tegelik;
01.07.2018 20:00;01.07.2018 21:00;4,833;Tegelik;
01.07.2018 21:00;01.07.2018 22:00;3,348;Tegelik;
01.07.2018 22:00;01.07.2018 23:00;1,342;Tegelik;
01.07.2018 23:00;02.07.2018 00:00;1,382;Tegelik;
02.07.2018 00:00;02.07.2018 01:00;1,755;Tegelik;
02.07.2018 01:00;02.07.2018 02:00;2,223;Tegelik;
02.07.2018 02:00;02.07.2018 03:00;1,486;Tegelik;
02.07.2018 03:00;02.07.2018 04:00;0,815;Tegelik;
02.07.2018 04:00;02.07.2018 05:00;0,149;Tegelik;
02.07.2018 05:00;02.07.2018 06:00;0,144;Tegelik;
02.07.2018 06:00;02.07.2018 07:00;0,138;Tegelik;
02.07.2018 07:00;02.07.2018 08:00;0,309;Tegelik;
02.07.2018 08:00;02.07.2018 09:00;0,401;Tegelik;
02.07.2018 09:00;02.07.2018 10:00;0,327;Tegelik;
02.07.2018 10:00;02.07.2018 11:00;0,151;Tegelik;
02.07.2018 11:00;02.07.2018 12:00;0,945;Tegelik;
02.07.2018 12:00;02.07.2018 13:00;1,855;Tegelik;
02.07.2018 13:00;02.07.2018 14:00;0,571;Tegelik;
02.07.2018 14:00;02.07.2018 15:00;0,539;Tegelik;
02.07.2018 15:00;02.07.2018 16:00;0,262;Tegelik;
02.07.2018 16:00;02.07.2018 17:00;0,296;Tegelik;
02.07.2018 17:00;02.07.2018 18:00;0,962;Tegelik;
02.07.2018 18:00;02.07.2018 19:00;1,244;Tegelik;
02.07.2018 19:00;02.07.2018 20:00;0,702;Tegelik;
02.07.2018 20:00;02.07.2018 21:00;0,633;Tegelik;
02.07.2018 21:00;02.07.2018 22:00;0,658;Tegelik;
02.07.2018 22:00;02.07.2018 23:00;0,6;Tegelik;
