Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,7.1,98,1017.8,1.1,251,1.1,2.0,,nähtusteta,,0.0,17.8,2019-06-01 0:00:00
Valga,5.8,98,1018.4,1.2,270,1.0,2.2,,nähtusteta,,0.0,20.3,2019-06-01 1:00:00
Valga,4.6,99,1018.7,1.1,206,0.5,1.6,,uduvine,,0.0,16.2,2019-06-01 2:00:00
Valga,3.9,100,1019.0,1.2,188,0.7,1.1,,nõrk hoogvihm,,0.0,8.2,2019-06-01 3:00:00
Valga,3.1,100,1019.4,1.0,239,0.5,1.9,,sademed,,0.0,2.4,2019-06-01 4:00:00
Valga,1.8,98,1019.9,1.2,239,0.6,1.4,,sademed,,0.0,18.7,2019-06-01 5:00:00
Valga,2.9,98,1020.2,1.2,261,0.7,1.1,,nähtusteta,,0.0,23.6,2019-06-01 6:00:00
Valga,6.0,92,1020.4,1.0,189,0.8,1.4,,nähtusteta,,0.0,28.3,2019-06-01 7:00:00
Valga,9.3,86,1020.8,0.9,195,1.5,2.5,,nähtusteta,,0.0,32.3,2019-06-01 8:00:00
Valga,12.0,67,1020.5,0.3,250,2.2,3.5,,nähtusteta,,0.0,35.0,2019-06-01 9:00:00
Valga,14.0,51,1020.5,0.1,233,1.5,3.5,,nähtusteta,,0.0,35.0,2019-06-01 10:00:00
Valga,15.6,35,1020.6,-0.2,248,2.0,4.5,,nähtusteta,,0.0,35.0,2019-06-01 11:00:00
Valga,16.3,39,1020.4,-0.1,267,2.4,5.0,,nähtusteta,,0.0,27.7,2019-06-01 12:00:00
Valga,16.8,34,1020.0,-0.5,260,2.9,6.6,,nähtusteta,,0.0,35.0,2019-06-01 13:00:00
Valga,17.7,34,1019.6,-1.0,240,2.6,6.3,,nähtusteta,,0.0,35.0,2019-06-01 14:00:00
Valga,18.2,33,1019.0,-1.4,232,2.1,5.5,,nähtusteta,,0.0,35.0,2019-06-01 15:00:00
Valga,18.5,36,1018.4,-1.6,224,3.7,6.7,,nähtusteta,,0.0,35.0,2019-06-01 16:00:00
Valga,18.3,38,1017.7,-1.9,222,3.5,7.7,,nähtusteta,,0.0,35.0,2019-06-01 17:00:00
Valga,18.9,37,1017.0,-2.0,231,3.2,6.9,,nähtusteta,,0.0,35.0,2019-06-01 18:00:00
