Grupp;"Ajatempel (UTC)";Hind
fi;1561928400;4,33
fi;1561932000;20,71
fi;1561935600;19,82
fi;1561939200;19,84
fi;1561942800;20,56
fi;1561946400;21,09
fi;1561950000;24,07
fi;1561953600;27,7
fi;1561957200;37,25
fi;1561960800;43,49
fi;1561964400;45,34
fi;1561968000;45,84
fi;1561971600;48,39
fi;1561975200;48,6
fi;1561978800;44,55
fi;1561982400;48,24
fi;1561986000;39,42
fi;1561989600;35
fi;1561993200;34,96
fi;1561996800;43,12
fi;1562000400;46,88
fi;1562004000;37,75
fi;1562007600;40,75
fi;1562011200;33,03
fi;1562014800;26,08
fi;1562018400;27,35
fi;1562022000;24,09
fi;1562025600;22,73
fi;1562029200;21,53
fi;1562032800;20,57
fi;1562036400;23,09
fi;1562040000;41,93
fi;1562043600;51,15
fi;1562047200;56
fi;1562050800;54,44
fi;1562054400;55,52
fi;1562058000;55,36
fi;1562061600;60,1
fi;1562065200;58,01
fi;1562068800;55,14
fi;1562072400;53,49
fi;1562076000;55,22
fi;1562079600;53,05
fi;1562083200;51,39
fi;1562086800;49,75
fi;1562090400;41,93
fi;1562094000;36,33
fi;1562097600;29,98
fi;1562101200;27,61
fi;1562104800;26,12
fi;1562108400;25,7
fi;1562112000;25,37
fi;1562115600;25,15
fi;1562119200;25,33
fi;1562122800;26,73
fi;1562126400;34,35
fi;1562130000;42,17
fi;1562133600;52,15
fi;1562137200;51,02
fi;1562140800;53,62
fi;1562144400;50,39
fi;1562148000;51,98
fi;1562151600;49,91
fi;1562155200;45,08
fi;1562158800;52,61
fi;1562162400;42,19
fi;1562166000;41,83
fi;1562169600;45,73
fi;1562173200;48,64
fi;1562176800;49,91
fi;1562180400;36,59
fi;1562184000;29,46
fi;1562187600;27,59
fi;1562191200;27,78
fi;1562194800;27,29
fi;1562198400;26,82
fi;1562202000;26,98
fi;1562205600;27,11
fi;1562209200;28,07
fi;1562212800;51,96
fi;1562216400;56,78
fi;1562220000;60,29
fi;1562223600;60,38
fi;1562227200;60,86
fi;1562230800;59,42
fi;1562234400;58,41
fi;1562238000;56,66
fi;1562241600;55,25
fi;1562245200;56,2
fi;1562248800;49,99
fi;1562252400;50,87
fi;1562256000;50,88
fi;1562259600;54,9
fi;1562263200;53,7
fi;1562266800;42,01
fi;1562270400;32,6
fi;1562274000;27,26
fi;1562277600;26,19
fi;1562281200;25,84
fi;1562284800;25,46
fi;1562288400;25,52
fi;1562292000;25,9
fi;1562295600;26,76
fi;1562299200;32,97
fi;1562302800;45,72
fi;1562306400;47,68
fi;1562310000;49,42
fi;1562313600;49,43
fi;1562317200;42,26
fi;1562320800;50,19
fi;1562324400;45,78
fi;1562328000;45,77
fi;1562331600;43,95
fi;1562335200;31,56
fi;1562338800;34,51
fi;1562342400;45,7
fi;1562346000;40,26
fi;1562349600;32,62
fi;1562353200;33,07
fi;1562356800;29,47
fi;1562360400;28,56
fi;1562364000;29,5
fi;1562367600;28,54
fi;1562371200;27,14
fi;1562374800;27,03
fi;1562378400;27,48
fi;1562382000;28,06
fi;1562385600;28,51
fi;1562389200;29,03
fi;1562392800;30,06
fi;1562396400;30,25
fi;1562400000;29,7
fi;1562403600;28,53
fi;1562407200;27,52
fi;1562410800;27,17
fi;1562414400;26,81
fi;1562418000;31,76
fi;1562421600;32,1
fi;1562425200;32,98
fi;1562428800;33,8
fi;1562432400;34,53
fi;1562436000;32,72
fi;1562439600;33,33
fi;1562443200;32,67
fi;1562446800;28,39
fi;1562450400;28,21
fi;1562454000;25,98
fi;1562457600;25,03
fi;1562461200;24,27
fi;1562464800;23,36
fi;1562468400;24,11
fi;1562472000;25,09
fi;1562475600;25,7
fi;1562479200;26,9
fi;1562482800;28,01
fi;1562486400;28,59
fi;1562490000;28,42
fi;1562493600;27,96
fi;1562497200;27,74
fi;1562500800;27
fi;1562504400;26,99
fi;1562508000;27,48
fi;1562511600;28,17
fi;1562515200;29,2
fi;1562518800;30,98
fi;1562522400;31,21
fi;1562526000;31,72
fi;1562529600;31,25
fi;1562533200;29,81
fi;1562536800;28,93
fi;1562540400;28,52
fi;1562544000;28,18
fi;1562547600;27,95
fi;1562551200;28,26
fi;1562554800;29,16
fi;1562558400;33,78
fi;1562562000;36,68
fi;1562565600;36,72
fi;1562569200;37,75
fi;1562572800;36,7
fi;1562576400;37,58
fi;1562580000;39,31
fi;1562583600;37,93
fi;1562587200;34,98
fi;1562590800;36,4
fi;1562594400;33,23
fi;1562598000;36,6
fi;1562601600;34,85
fi;1562605200;35,15
fi;1562608800;31,56
fi;1562612400;31,15
fi;1562616000;30,75
fi;1562619600;29,72
fi;1562623200;30,55
fi;1562626800;29,51
fi;1562630400;29,17
fi;1562634000;28,98
fi;1562637600;29,23
fi;1562641200;30,07
fi;1562644800;45,66
fi;1562648400;55,22
fi;1562652000;57,54
fi;1562655600;58,64
fi;1562659200;57,78
fi;1562662800;58,27
fi;1562666400;58,09
fi;1562670000;56,19
