EE ja EL ÜLDTEENUSE HINNAD (s/kWh käibemaksuga)
Aasta;Kuu;EE_24h_hind;EE_Normaal;EE_Soodus;EL_24h_hind;EL_Normaal;EL_Soodus
2019;8;6,64;8,05;5,14;7,93;9,18;6,08
2019;7;6,52;7,74;5,29;7,93;9,18;6,08
2019;6;5,93;7,94;4,46;7,93;9,18;6,08
2019;5;5,74;6,88;4,50;7,93;9,18;6,08
2019;4;5,77;6,32;5,18;7,93;9,18;6,08
2019;3;5,58;5,98;5,03;7,93;9,18;6,08
2019;2;6,53;6,84;5,92;7,93;9,18;6,08
2019;1;7,24;8,17;6,71;7,93;9,18;6,08
2018;12;7,12;7,81;6,42;7,94;9,22;6,03
2018;11;6,84;7,70;6,25;7,94;9,22;6,03
2018;10;6,52;6,90;5,51;7,94;9,22;6,03
2018;9;7,02;7,52;6,12;7,94;9,22;6,03
2018;8;7,42;8,10;6,60;7,94;9,22;6,03
2018;7;7,07;7,68;6,62;7,94;9,22;6,03
2018;6;6,56;7,02;5,82;7,94;9,22;6,03
2018;5;5,28;6,41;3,97;7,94;9,22;6,03
2018;4;5,38;5,75;4,99;7,94;9,22;6,03
2018;3;6,16;6,97;5,26;7,94;9,22;6,03
2018;2;5,70;6,89;4,85;7,94;9,22;6,03
2018;1;5,08;5,88;4,19;7,94;9,22;6,03
2017;12;4,56;5,09;3,80;8,12;9,40;6,21
2017;11;4,57;5,32;4,06;8,12;9,40;6,21 
2017;10;4,52;5,35;3,77;8,26;9,57;6,31
2017;9;5,05;5,66;4,42;8,26;9,57;6,31
2017;8;4,96;5,87;3,94;8,26;9,57;6,31
2017;7;4,78;5,41;4,03;8,26;9,57;6,31
2017;6;4,24;4,96;3,36;8,26;9,57;6,31
2017;5;4,22;4,63;3,74;8,26;9,57;6,31
2017;4;4,26;4,75;3,85;8,26;9,57;6,31
2017;3;4,25;4,57;3,88;8,26;9,57;6,31
2017;2;4,81;5,39;4,16;8,26;9,57;6,31
2017;1;4,57;5,09;4,08;8,26;9,57;6,31
2016;12;4,76;5,20;4,12;8,17;9,48;6,21
2016;11;5,68;6,17;4,90;8,17;9,48;6,21
